,p_val,avg_log2FC,pct.1,pct.2,pct.diff,p_val_adj,cluster,gene
PSMA3.2,4.55E-173,-0.354824512,0.064,0.325,-0.261,1.37E-168,Neutrophils,PSMA3
COMMD3.3,6.57E-173,-0.356147758,0.013,0.229,-0.216,1.98E-168,Neutrophils,COMMD3
FUNDC2.2,8.05E-173,-0.346890134,0.008,0.219,-0.211,2.43E-168,Neutrophils,FUNDC2
ATXN10.1,1.19E-172,-0.350504681,0.003,0.208,-0.205,3.58E-168,Neutrophils,ATXN10
SPOCK2.10,1.22E-172,-0.512607255,0.016,0.232,-0.216,3.68E-168,Neutrophils,SPOCK2
COA4.1,1.53E-172,-0.346681063,0.003,0.208,-0.205,4.62E-168,Neutrophils,COA4
07-Mar,2.64E-172,0.635194957,0.357,0.214,0.143,7.97E-168,Neutrophils,07-Mar
ABHD14B,3.43E-172,-0.364300336,0.003,0.209,-0.206,1.04E-167,Neutrophils,ABHD14B
UQCRC2,5.14E-172,-0.337747167,0.069,0.333,-0.264,1.55E-167,Neutrophils,UQCRC2
VMA21.1,8.17E-172,-0.342073873,0.017,0.236,-0.219,2.46E-167,Neutrophils,VMA21
TEX264,1.75E-171,-0.351202455,0.018,0.236,-0.218,5.29E-167,Neutrophils,TEX264
TACC3,1.79E-171,0.567469955,0.251,0.113,0.138,5.39E-167,Neutrophils,TACC3
C12orf75.8,1.79E-171,-0.457639014,0.005,0.212,-0.207,5.41E-167,Neutrophils,C12orf75
STRAP.1,1.96E-171,-0.346701055,0.033,0.265,-0.232,5.91E-167,Neutrophils,STRAP
ANXA4.3,3.59E-171,-0.356106538,0.027,0.253,-0.226,1.08E-166,Neutrophils,ANXA4
LSM6,3.99E-171,-0.35279509,0.071,0.335,-0.264,1.20E-166,Neutrophils,LSM6
FIBP,5.49E-171,-0.343136224,0.023,0.246,-0.223,1.66E-166,Neutrophils,FIBP
LBH.10,5.69E-171,-0.457700806,0.003,0.208,-0.205,1.72E-166,Neutrophils,LBH
ACTN4.5,6.10E-171,0.604393051,0.434,0.31,0.124,1.84E-166,Neutrophils,ACTN4
AIP.1,7.26E-171,-0.355096489,0.057,0.309,-0.252,2.19E-166,Neutrophils,AIP
HINT2.2,1.22E-170,-0.347395515,0.002,0.205,-0.203,3.69E-166,Neutrophils,HINT2
EIF3J.2,3.29E-170,-0.353307447,0.05,0.296,-0.246,9.94E-166,Neutrophils,EIF3J
HERPUD1.7,4.02E-170,-0.460537394,0.196,0.521,-0.325,1.21E-165,Neutrophils,HERPUD1
CD27.13,4.28E-170,-0.501152234,0.001,0.203,-0.202,1.29E-165,Neutrophils,CD27
COX5B.1,5.60E-170,-0.462430935,0.289,0.688,-0.399,1.69E-165,Neutrophils,COX5B
TBCB.1,8.69E-170,-0.348032315,0.078,0.346,-0.268,2.62E-165,Neutrophils,TBCB
HNMT.13,1.76E-169,-0.391028614,0.002,0.204,-0.202,5.30E-165,Neutrophils,HNMT
PRR13.1,3.32E-169,0.47260646,0.553,0.533,0.02,1.00E-164,Neutrophils,PRR13
NUDCD2.1,4.01E-169,-0.342118043,0.005,0.21,-0.205,1.21E-164,Neutrophils,NUDCD2
LAGE3.2,4.38E-169,-0.340398022,0.007,0.214,-0.207,1.32E-164,Neutrophils,LAGE3
MRPL3.1,5.42E-169,-0.341052789,0.004,0.207,-0.203,1.63E-164,Neutrophils,MRPL3
COA3,6.34E-169,-0.331300602,0.004,0.208,-0.204,1.91E-164,Neutrophils,COA3
ELOVL5,7.08E-169,0.644369787,0.356,0.215,0.141,2.14E-164,Neutrophils,ELOVL5
EIF6,8.84E-169,-0.332195989,0.053,0.3,-0.247,2.67E-164,Neutrophils,EIF6
LSM3.2,1.51E-168,-0.347381568,0.098,0.383,-0.285,4.54E-164,Neutrophils,LSM3
TMEM134.1,2.07E-168,-0.351459678,0.012,0.222,-0.21,6.24E-164,Neutrophils,TMEM134
CPVL.14,3.30E-168,-0.466952782,0.002,0.202,-0.2,9.97E-164,Neutrophils,CPVL
CAPZA2.6,4.96E-168,0.558448891,0.479,0.392,0.087,1.50E-163,Neutrophils,CAPZA2
SLFN5.11,7.07E-168,-0.4356844,0.021,0.238,-0.217,2.13E-163,Neutrophils,SLFN5
VAMP5.3,8.76E-168,-0.382537159,0.044,0.28,-0.236,2.64E-163,Neutrophils,VAMP5
TIMM8B.3,1.07E-167,-0.350543728,0.069,0.328,-0.259,3.23E-163,Neutrophils,TIMM8B
APOBEC3G.9,1.22E-167,-0.437782954,0.034,0.259,-0.225,3.68E-163,Neutrophils,APOBEC3G
ADA2.6,1.27E-167,-0.375569371,0.006,0.209,-0.203,3.84E-163,Neutrophils,ADA2
MRPS18B.1,1.30E-167,-0.341875313,0.003,0.204,-0.201,3.91E-163,Neutrophils,MRPS18B
GLOD4,1.83E-167,-0.346665282,0.008,0.213,-0.205,5.54E-163,Neutrophils,GLOD4
SERPINB6.6,2.21E-167,-0.352179774,0.026,0.248,-0.222,6.68E-163,Neutrophils,SERPINB6
MRPS12.1,3.23E-167,-0.336228309,0.006,0.21,-0.204,9.75E-163,Neutrophils,MRPS12
SUB1.4,3.26E-167,-0.454603415,0.316,0.714,-0.398,9.84E-163,Neutrophils,SUB1
NIPBL,4.03E-167,0.646277261,0.388,0.254,0.134,1.22E-162,Neutrophils,NIPBL
KMT2C,4.22E-167,0.641792947,0.366,0.227,0.139,1.27E-162,Neutrophils,KMT2C
ZCRB1.1,4.47E-167,-0.336128792,0.029,0.254,-0.225,1.35E-162,Neutrophils,ZCRB1
SUGT1.2,6.90E-167,-0.338894751,0.01,0.218,-0.208,2.08E-162,Neutrophils,SUGT1
SPINK1.2,8.44E-167,-0.455571388,0.008,0.211,-0.203,2.55E-162,Neutrophils,SPINK1
C4orf48.8,1.19E-166,-0.371768262,0.111,0.4,-0.289,3.59E-162,Neutrophils,C4orf48
PHF14.1,2.10E-166,-0.359093028,0.006,0.208,-0.202,6.34E-162,Neutrophils,PHF14
ESF1,2.11E-166,-0.36199691,0.004,0.205,-0.201,6.38E-162,Neutrophils,ESF1
SH2D3C.1,2.58E-166,0.462640008,0.179,0.063,0.116,7.78E-162,Neutrophils,SH2D3C
GNAQ.12,3.41E-166,0.641586825,0.364,0.225,0.139,1.03E-161,Neutrophils,GNAQ
ILF3,3.92E-166,-0.344725737,0.028,0.25,-0.222,1.18E-161,Neutrophils,ILF3
RALA.1,3.99E-166,-0.36694437,0.022,0.238,-0.216,1.20E-161,Neutrophils,RALA
HDDC2.2,4.26E-166,-0.35203908,0.003,0.203,-0.2,1.29E-161,Neutrophils,HDDC2
IFI30.14,5.08E-166,-0.558604845,0.099,0.35,-0.251,1.53E-161,Neutrophils,IFI30
MRPS36.1,5.53E-166,-0.330917715,0.039,0.27,-0.231,1.67E-161,Neutrophils,MRPS36
STOML2.2,7.26E-166,-0.330588552,0.009,0.213,-0.204,2.19E-161,Neutrophils,STOML2
SEPT9.4,1.23E-165,-0.375245324,0.089,0.359,-0.27,3.72E-161,Neutrophils,09-Sep
NDUFA8.1,1.50E-165,-0.326361325,0.006,0.208,-0.202,4.54E-161,Neutrophils,NDUFA8
TCEAL4.4,1.81E-165,-0.3541428,0.004,0.203,-0.199,5.45E-161,Neutrophils,TCEAL4
SKAP1.13,1.86E-165,-0.454581011,0.001,0.198,-0.197,5.60E-161,Neutrophils,SKAP1
MED13L.1,2.60E-165,0.60769489,0.292,0.15,0.142,7.84E-161,Neutrophils,MED13L
CD96.11,2.70E-165,-0.481397203,0.002,0.198,-0.196,8.14E-161,Neutrophils,CD96
MRPL40.1,2.84E-165,-0.330890919,0.004,0.204,-0.2,8.57E-161,Neutrophils,MRPL40
RNF181.3,3.19E-165,-0.353130508,0.104,0.388,-0.284,9.63E-161,Neutrophils,RNF181
UBE2L3,4.53E-165,-0.352486224,0.123,0.424,-0.301,1.37E-160,Neutrophils,UBE2L3
NDUFV1.1,1.27E-164,-0.327547151,0.019,0.233,-0.214,3.83E-160,Neutrophils,NDUFV1
SSBP4.2,1.32E-164,-0.368454495,0.005,0.206,-0.201,3.98E-160,Neutrophils,SSBP4
SNRPA1,1.79E-164,-0.348050832,0.008,0.21,-0.202,5.40E-160,Neutrophils,SNRPA1
KMT2A,2.46E-164,-0.381351209,0.027,0.245,-0.218,7.43E-160,Neutrophils,KMT2A
OCIAD1.3,3.50E-164,-0.333027521,0.088,0.36,-0.272,1.06E-159,Neutrophils,OCIAD1
PCSK7.2,5.72E-164,-0.369158305,0.049,0.287,-0.238,1.73E-159,Neutrophils,PCSK7
DGCR6L,5.76E-164,-0.336548352,0.008,0.211,-0.203,1.74E-159,Neutrophils,DGCR6L
SRSF10,8.73E-164,-0.341958283,0.042,0.274,-0.232,2.63E-159,Neutrophils,SRSF10
NCOA2,1.14E-163,0.540194812,0.226,0.095,0.131,3.43E-159,Neutrophils,NCOA2
MRPL27,1.19E-163,-0.32168174,0.007,0.208,-0.201,3.60E-159,Neutrophils,MRPL27
LYAR.5,1.27E-163,-0.398440913,0.014,0.221,-0.207,3.85E-159,Neutrophils,LYAR
METTL23.1,2.13E-163,-0.345133402,0.015,0.224,-0.209,6.43E-159,Neutrophils,METTL23
MS4A4A.11,2.64E-163,-0.434571758,0,0.194,-0.194,7.97E-159,Neutrophils,MS4A4A
RPL7L1.2,5.63E-163,-0.339149188,0.022,0.236,-0.214,1.70E-158,Neutrophils,RPL7L1
NAP1L4.6,8.48E-163,-0.371566937,0.056,0.298,-0.242,2.56E-158,Neutrophils,NAP1L4
BAX,8.94E-163,-0.372206638,0.136,0.439,-0.303,2.70E-158,Neutrophils,BAX
DDX17.2,1.18E-162,0.467531821,0.568,0.526,0.042,3.57E-158,Neutrophils,DDX17
GSPT1,1.24E-162,-0.34291673,0.023,0.238,-0.215,3.73E-158,Neutrophils,GSPT1
MAF.7,1.29E-162,-0.430508778,0.003,0.198,-0.195,3.90E-158,Neutrophils,MAF
ITPK1,2.79E-162,0.584898841,0.237,0.105,0.132,8.42E-158,Neutrophils,ITPK1
ANXA5.10,2.88E-162,-0.448724107,0.195,0.515,-0.32,8.69E-158,Neutrophils,ANXA5
CDC37,3.03E-162,-0.342990296,0.116,0.407,-0.291,9.14E-158,Neutrophils,CDC37
OXA1L,5.32E-162,-0.320818716,0.029,0.248,-0.219,1.61E-157,Neutrophils,OXA1L
DHRS7.5,6.09E-162,0.583997491,0.472,0.383,0.089,1.84E-157,Neutrophils,DHRS7
CCR1.10,7.66E-162,0.620878863,0.289,0.148,0.141,2.31E-157,Neutrophils,CCR1
RNF44,8.28E-162,0.583259998,0.272,0.134,0.138,2.50E-157,Neutrophils,RNF44
POLR2E,8.78E-162,-0.318755145,0.052,0.291,-0.239,2.65E-157,Neutrophils,POLR2E
SS18L2,9.38E-162,-0.334255878,0.04,0.269,-0.229,2.83E-157,Neutrophils,SS18L2
CMTM7.1,1.01E-161,-0.3285983,0.034,0.258,-0.224,3.04E-157,Neutrophils,CMTM7
GPRIN3.3,2.23E-161,-0.378870306,0.007,0.205,-0.198,6.73E-157,Neutrophils,GPRIN3
PHF12,2.93E-161,0.523162098,0.215,0.089,0.126,8.83E-157,Neutrophils,PHF12
H2AFJ.2,4.00E-161,-0.339380897,0.049,0.284,-0.235,1.21E-156,Neutrophils,H2AFJ
HIKESHI.1,5.51E-161,-0.327029527,0.012,0.215,-0.203,1.66E-156,Neutrophils,HIKESHI
UFM1.1,5.75E-161,-0.329455051,0.045,0.278,-0.233,1.74E-156,Neutrophils,UFM1
CMC2.2,9.66E-161,-0.334692226,0.019,0.227,-0.208,2.91E-156,Neutrophils,CMC2
PSMB5.2,1.30E-160,-0.319775899,0.018,0.226,-0.208,3.92E-156,Neutrophils,PSMB5
FAM173A.1,1.43E-160,-0.332534212,0.004,0.199,-0.195,4.30E-156,Neutrophils,FAM173A
ZC3H15.1,1.57E-160,-0.325700656,0.081,0.343,-0.262,4.75E-156,Neutrophils,ZC3H15
PTPRCAP.12,1.80E-160,-0.631752481,0.007,0.202,-0.195,5.44E-156,Neutrophils,PTPRCAP
MLEC.3,2.00E-160,-0.340227184,0.017,0.224,-0.207,6.05E-156,Neutrophils,MLEC
HSDL2,6.24E-160,0.550132875,0.225,0.097,0.128,1.88E-155,Neutrophils,HSDL2
PDCL3,6.53E-160,-0.33297957,0.005,0.201,-0.196,1.97E-155,Neutrophils,PDCL3
DDX58,6.74E-160,0.518599536,0.194,0.074,0.12,2.03E-155,Neutrophils,DDX58
RPAIN.2,7.35E-160,-0.327426392,0.01,0.21,-0.2,2.22E-155,Neutrophils,RPAIN
NME1.1,7.49E-160,-0.339663082,0.005,0.2,-0.195,2.26E-155,Neutrophils,NME1
PPP1R3D,1.31E-159,0.379192769,0.13,0.037,0.093,3.95E-155,Neutrophils,PPP1R3D
NDUFA1.1,1.62E-159,-0.428002132,0.255,0.632,-0.377,4.88E-155,Neutrophils,NDUFA1
VCAN.14,1.63E-159,-0.611076631,0.007,0.201,-0.194,4.91E-155,Neutrophils,VCAN
APAF1.1,1.70E-159,0.542058391,0.22,0.093,0.127,5.11E-155,Neutrophils,APAF1
CCNG2.1,1.82E-159,0.590755699,0.264,0.127,0.137,5.49E-155,Neutrophils,CCNG2
COMMD1.1,2.45E-159,-0.313818882,0.008,0.206,-0.198,7.38E-155,Neutrophils,COMMD1
ZNF641,2.92E-159,0.437523794,0.157,0.052,0.105,8.80E-155,Neutrophils,ZNF641
SAMHD1.9,2.94E-159,-0.40112536,0.111,0.386,-0.275,8.88E-155,Neutrophils,SAMHD1
MT-ND6,3.12E-159,-0.37500805,0.016,0.22,-0.204,9.42E-155,Neutrophils,MT-ND6
NIFK,4.59E-159,-0.336310571,0.01,0.209,-0.199,1.38E-154,Neutrophils,NIFK
RORA.11,4.65E-159,-0.459539341,0.003,0.196,-0.193,1.40E-154,Neutrophils,RORA
PRKACB.2,4.94E-159,-0.365811091,0.002,0.192,-0.19,1.49E-154,Neutrophils,PRKACB
STUB1.2,5.50E-159,-0.330695887,0.068,0.317,-0.249,1.66E-154,Neutrophils,STUB1
MAP3K1.3,7.36E-159,0.612024163,0.307,0.167,0.14,2.22E-154,Neutrophils,MAP3K1
TRAF3IP3.6,7.87E-159,-0.404977859,0.092,0.352,-0.26,2.38E-154,Neutrophils,TRAF3IP3
MT-ATP6.1,9.59E-159,-0.252787027,0.903,0.978,-0.075,2.89E-154,Neutrophils,MT-ATP6
EPB41L4A-AS1.1,9.87E-159,-0.356831021,0.003,0.194,-0.191,2.98E-154,Neutrophils,EPB41L4A-AS1
CITED2.3,1.40E-158,-0.401874196,0.064,0.305,-0.241,4.23E-154,Neutrophils,CITED2
CNIH1.1,2.25E-158,-0.31684881,0.029,0.244,-0.215,6.78E-154,Neutrophils,CNIH1
SNX17,2.29E-158,-0.321828637,0.05,0.284,-0.234,6.91E-154,Neutrophils,SNX17
UBA2,3.30E-158,-0.323955105,0.015,0.218,-0.203,9.95E-154,Neutrophils,UBA2
ITPA,3.67E-158,-0.317558611,0.005,0.199,-0.194,1.11E-153,Neutrophils,ITPA
ETHE1,3.69E-158,-0.322711476,0.004,0.197,-0.193,1.11E-153,Neutrophils,ETHE1
CANT1,3.89E-158,0.508517792,0.199,0.078,0.121,1.17E-153,Neutrophils,CANT1
PCNP,4.91E-158,-0.319965468,0.085,0.346,-0.261,1.48E-153,Neutrophils,PCNP
SYNGR2.10,5.63E-158,-0.350099061,0.093,0.361,-0.268,1.70E-153,Neutrophils,SYNGR2
SRM.1,9.08E-158,-0.334885203,0.002,0.192,-0.19,2.74E-153,Neutrophils,SRM
B3GNT8,9.09E-158,0.328319165,0.105,0.025,0.08,2.74E-153,Neutrophils,B3GNT8
EMC4.1,1.11E-157,-0.312778808,0.031,0.248,-0.217,3.34E-153,Neutrophils,EMC4
PSMA4,1.14E-157,-0.350376535,0.124,0.415,-0.291,3.45E-153,Neutrophils,PSMA4
TMCC1,1.30E-157,0.467649274,0.164,0.056,0.108,3.92E-153,Neutrophils,TMCC1
GLRX3,1.94E-157,-0.313788804,0.01,0.208,-0.198,5.85E-153,Neutrophils,GLRX3
ZNF331.4,1.95E-157,-0.420756396,0.004,0.195,-0.191,5.88E-153,Neutrophils,ZNF331
RPA3.1,1.95E-157,-0.338239007,0.033,0.251,-0.218,5.90E-153,Neutrophils,RPA3
AUP1.1,2.76E-157,-0.317036634,0.051,0.285,-0.234,8.34E-153,Neutrophils,AUP1
DPM3.2,3.22E-157,-0.330160294,0.026,0.238,-0.212,9.73E-153,Neutrophils,DPM3
PUF60,3.50E-157,-0.318690239,0.04,0.263,-0.223,1.06E-152,Neutrophils,PUF60
FURIN,4.10E-157,0.553727956,0.241,0.11,0.131,1.24E-152,Neutrophils,FURIN
SREK1IP1.1,5.27E-157,-0.329139327,0.018,0.222,-0.204,1.59E-152,Neutrophils,SREK1IP1
ID3.6,5.55E-157,-0.406404536,0.007,0.201,-0.194,1.67E-152,Neutrophils,ID3
PCBD1.2,6.07E-157,-0.316377103,0.003,0.194,-0.191,1.83E-152,Neutrophils,PCBD1
CCDC115.1,7.65E-157,-0.320609196,0.017,0.221,-0.204,2.31E-152,Neutrophils,CCDC115
SYNCRIP,9.15E-157,-0.319635411,0.04,0.264,-0.224,2.76E-152,Neutrophils,SYNCRIP
DGUOK,1.06E-156,-0.311173078,0.083,0.343,-0.26,3.20E-152,Neutrophils,DGUOK
MRPS18C.2,1.08E-156,-0.316841721,0.045,0.272,-0.227,3.24E-152,Neutrophils,MRPS18C
NCBP2,1.08E-156,-0.321924219,0.011,0.209,-0.198,3.27E-152,Neutrophils,NCBP2
PRDX3.1,1.11E-156,-0.322549795,0.06,0.301,-0.241,3.34E-152,Neutrophils,PRDX3
DAB2.10,1.12E-156,-0.44183334,0.005,0.196,-0.191,3.39E-152,Neutrophils,DAB2
SELENOM.2,1.46E-156,-0.369277661,0.007,0.2,-0.193,4.42E-152,Neutrophils,SELENOM
CYB5A.1,3.37E-156,-0.332193852,0.003,0.192,-0.189,1.02E-151,Neutrophils,CYB5A
IL10RA.3,5.43E-156,-0.361307139,0.051,0.282,-0.231,1.64E-151,Neutrophils,IL10RA
GNB1.3,1.27E-155,0.580957202,0.425,0.314,0.111,3.84E-151,Neutrophils,GNB1
BIN2.6,1.36E-155,0.587813874,0.433,0.317,0.116,4.11E-151,Neutrophils,BIN2
MRPL13,1.84E-155,-0.308968045,0.006,0.198,-0.192,5.54E-151,Neutrophils,MRPL13
CENPX,4.84E-155,-0.323371793,0.008,0.201,-0.193,1.46E-150,Neutrophils,CENPX
MSR1.12,5.70E-155,-0.463026323,0.001,0.187,-0.186,1.72E-150,Neutrophils,MSR1
NAA38.2,9.73E-155,-0.330103396,0.1,0.37,-0.27,2.94E-150,Neutrophils,NAA38
RP2,1.11E-154,0.557955222,0.232,0.104,0.128,3.36E-150,Neutrophils,RP2
RNF187.1,1.40E-154,-0.320526539,0.024,0.231,-0.207,4.23E-150,Neutrophils,RNF187
MRPS16.1,1.45E-154,-0.305452066,0.017,0.218,-0.201,4.37E-150,Neutrophils,MRPS16
FKBP2.5,1.58E-154,-0.37756328,0.04,0.259,-0.219,4.76E-150,Neutrophils,FKBP2
MRPS26,1.80E-154,-0.318627856,0.003,0.191,-0.188,5.43E-150,Neutrophils,MRPS26
CHST12.8,2.16E-154,-0.384653495,0.003,0.191,-0.188,6.52E-150,Neutrophils,CHST12
A1BG.3,2.63E-154,-0.336547507,0.003,0.19,-0.187,7.93E-150,Neutrophils,A1BG
SUCLG2,3.87E-154,-0.321001286,0.004,0.193,-0.189,1.17E-149,Neutrophils,SUCLG2
PEA15.4,4.01E-154,-0.336632427,0.003,0.189,-0.186,1.21E-149,Neutrophils,PEA15
WWP2,4.09E-154,0.511575654,0.202,0.082,0.12,1.23E-149,Neutrophils,WWP2
EP300.1,4.18E-154,0.613634743,0.304,0.168,0.136,1.26E-149,Neutrophils,EP300
SNX18.1,4.92E-154,0.553139029,0.236,0.106,0.13,1.48E-149,Neutrophils,SNX18
NOP56.1,5.07E-154,-0.324892631,0.018,0.219,-0.201,1.53E-149,Neutrophils,NOP56
FAM96A.2,7.91E-154,-0.309441227,0.051,0.282,-0.231,2.39E-149,Neutrophils,FAM96A
THOC7,1.09E-153,-0.307716919,0.061,0.299,-0.238,3.29E-149,Neutrophils,THOC7
TLR5,1.85E-153,0.462570622,0.166,0.058,0.108,5.58E-149,Neutrophils,TLR5
IMPA2.1,1.98E-153,0.452683518,0.167,0.059,0.108,5.96E-149,Neutrophils,IMPA2
NUDT1.2,2.65E-153,-0.319152512,0.008,0.2,-0.192,8.00E-149,Neutrophils,NUDT1
NHLRC3,3.38E-153,-0.329031983,0.006,0.196,-0.19,1.02E-148,Neutrophils,NHLRC3
CD151.4,9.41E-153,-0.329989423,0.011,0.205,-0.194,2.84E-148,Neutrophils,CD151
PTPMT1.2,1.25E-152,-0.314906043,0.003,0.188,-0.185,3.76E-148,Neutrophils,PTPMT1
RTCB,1.29E-152,-0.307723182,0.003,0.189,-0.186,3.88E-148,Neutrophils,RTCB
HSD17B11.1,1.49E-152,0.597811759,0.419,0.31,0.109,4.48E-148,Neutrophils,HSD17B11
UBE2I,1.59E-152,-0.333583426,0.151,0.46,-0.309,4.81E-148,Neutrophils,UBE2I
DPYSL2.8,2.59E-152,-0.349434948,0.004,0.191,-0.187,7.82E-148,Neutrophils,DPYSL2
PIK3AP1.8,2.60E-152,0.598874932,0.296,0.159,0.137,7.84E-148,Neutrophils,PIK3AP1
PTMS.6,4.63E-152,-0.368460063,0.031,0.24,-0.209,1.40E-147,Neutrophils,PTMS
SMIM19.1,6.12E-152,-0.310129265,0.012,0.206,-0.194,1.85E-147,Neutrophils,SMIM19
TMEM43,6.86E-152,0.553287041,0.251,0.12,0.131,2.07E-147,Neutrophils,TMEM43
G3BP1,9.88E-152,-0.317844657,0.043,0.263,-0.22,2.98E-147,Neutrophils,G3BP1
RBBP7,1.07E-151,-0.319550397,0.018,0.217,-0.199,3.24E-147,Neutrophils,RBBP7
ARL5A.1,1.23E-151,-0.298769153,0.063,0.302,-0.239,3.71E-147,Neutrophils,ARL5A
DNAJC7.3,1.24E-151,-0.307403305,0.066,0.307,-0.241,3.75E-147,Neutrophils,DNAJC7
AKR7A2.1,1.26E-151,-0.307326812,0.006,0.194,-0.188,3.80E-147,Neutrophils,AKR7A2
TIMM10,1.29E-151,-0.303850954,0.012,0.206,-0.194,3.89E-147,Neutrophils,TIMM10
TREM2.13,2.33E-151,-0.477192122,0.002,0.184,-0.182,7.05E-147,Neutrophils,TREM2
TUBA1C.1,2.51E-151,-0.34045902,0.019,0.219,-0.2,7.58E-147,Neutrophils,TUBA1C
VPS29.1,2.79E-151,-0.340001952,0.125,0.411,-0.286,8.40E-147,Neutrophils,VPS29
RABGGTB,2.91E-151,-0.311077157,0.009,0.2,-0.191,8.77E-147,Neutrophils,RABGGTB
SDHC,3.81E-151,-0.296944284,0.057,0.289,-0.232,1.15E-146,Neutrophils,SDHC
CFAP97.1,4.47E-151,-0.343483238,0,0.182,-0.182,1.35E-146,Neutrophils,CFAP97
STX8,9.25E-151,-0.309277713,0.015,0.211,-0.196,2.79E-146,Neutrophils,STX8
MPG.3,9.60E-151,-0.31402486,0.028,0.235,-0.207,2.90E-146,Neutrophils,MPG
TIMP1.12,1.03E-150,-0.448712466,0.205,0.513,-0.308,3.11E-146,Neutrophils,TIMP1
IRF8.9,1.04E-150,-0.354259748,0.003,0.187,-0.184,3.15E-146,Neutrophils,IRF8
OSBPL11,1.53E-150,0.556871622,0.239,0.111,0.128,4.62E-146,Neutrophils,OSBPL11
WAC,2.01E-150,0.607309051,0.389,0.268,0.121,6.06E-146,Neutrophils,WAC
CCDC167.2,2.09E-150,-0.338357992,0.002,0.185,-0.183,6.32E-146,Neutrophils,CCDC167
PPM1K.3,2.31E-150,-0.355260065,0.011,0.201,-0.19,6.96E-146,Neutrophils,PPM1K
HOPX.11,2.54E-150,-0.517241056,0.001,0.183,-0.182,7.65E-146,Neutrophils,HOPX
GZMM.11,2.96E-150,-0.474273819,0.005,0.19,-0.185,8.94E-146,Neutrophils,GZMM
HADHA.1,3.06E-150,-0.319120298,0.088,0.346,-0.258,9.24E-146,Neutrophils,HADHA
FKBP1A.6,3.68E-150,0.417044873,0.554,0.531,0.023,1.11E-145,Neutrophils,FKBP1A
MRPS6.4,3.71E-150,-0.327331254,0.058,0.29,-0.232,1.12E-145,Neutrophils,MRPS6
SNHG25,4.56E-150,-0.326209138,0.02,0.218,-0.198,1.38E-145,Neutrophils,SNHG25
LPAR6.7,1.24E-149,-0.364365403,0.007,0.193,-0.186,3.73E-145,Neutrophils,LPAR6
PSMC4,1.35E-149,-0.303614212,0.035,0.247,-0.212,4.07E-145,Neutrophils,PSMC4
VDAC3.1,1.71E-149,-0.30577105,0.049,0.273,-0.224,5.15E-145,Neutrophils,VDAC3
GIMAP5.7,2.76E-149,-0.378533189,0.002,0.184,-0.182,8.33E-145,Neutrophils,GIMAP5
RRP7A.1,7.49E-149,-0.30400428,0.012,0.202,-0.19,2.26E-144,Neutrophils,RRP7A
FOXO3,8.73E-149,0.611555353,0.291,0.158,0.133,2.64E-144,Neutrophils,FOXO3
MRPL4,9.16E-149,-0.303697456,0.002,0.183,-0.181,2.76E-144,Neutrophils,MRPL4
CLPP.2,9.97E-149,-0.307895022,0.026,0.229,-0.203,3.01E-144,Neutrophils,CLPP
CANX.10,1.09E-148,-0.347861091,0.128,0.411,-0.283,3.30E-144,Neutrophils,CANX
PQLC3,1.34E-148,-0.309291788,0.005,0.189,-0.184,4.04E-144,Neutrophils,PQLC3
CRTAP.4,1.37E-148,-0.316093044,0.018,0.215,-0.197,4.13E-144,Neutrophils,CRTAP
ERCC1.2,1.76E-148,-0.297180105,0.018,0.213,-0.195,5.30E-144,Neutrophils,ERCC1
YBX3.8,1.94E-148,-0.346528146,0.027,0.23,-0.203,5.85E-144,Neutrophils,YBX3
ZRANB2.3,1.97E-148,-0.327900267,0.059,0.289,-0.23,5.95E-144,Neutrophils,ZRANB2
AREL1,2.55E-148,0.394741446,0.138,0.043,0.095,7.70E-144,Neutrophils,AREL1
MRPL22.1,2.81E-148,-0.303003951,0.011,0.201,-0.19,8.48E-144,Neutrophils,MRPL22
H2AFV.3,3.17E-148,-0.34797786,0.148,0.444,-0.296,9.55E-144,Neutrophils,H2AFV
VSIG4.12,3.21E-148,-0.431680251,0.002,0.181,-0.179,9.69E-144,Neutrophils,VSIG4
ANAPC5.2,4.88E-148,-0.309310668,0.037,0.248,-0.211,1.47E-143,Neutrophils,ANAPC5
C1orf162.12,5.48E-148,-0.421368939,0.133,0.404,-0.271,1.65E-143,Neutrophils,C1orf162
BOLA3.1,7.35E-148,-0.311681002,0.003,0.184,-0.181,2.22E-143,Neutrophils,BOLA3
LARS.1,1.38E-147,-0.316465194,0.006,0.19,-0.184,4.15E-143,Neutrophils,LARS
COX20.1,1.42E-147,-0.306122392,0.052,0.276,-0.224,4.30E-143,Neutrophils,COX20
RAB4A.2,1.71E-147,-0.29408847,0.012,0.201,-0.189,5.15E-143,Neutrophils,RAB4A
PMVK.1,2.05E-147,-0.298780192,0.003,0.183,-0.18,6.19E-143,Neutrophils,PMVK
DDX21.2,3.60E-147,-0.322907316,0.079,0.323,-0.244,1.09E-142,Neutrophils,DDX21
ARRDC3.1,3.79E-147,0.623481842,0.365,0.234,0.131,1.14E-142,Neutrophils,ARRDC3
CSF1R.13,4.70E-147,-0.379652259,0.016,0.208,-0.192,1.42E-142,Neutrophils,CSF1R
MRPL21.1,5.48E-147,-0.293537634,0.014,0.205,-0.191,1.65E-142,Neutrophils,MRPL21
PRDX4.1,6.21E-147,-0.31871016,0.005,0.186,-0.181,1.88E-142,Neutrophils,PRDX4
